,date,tank,speaker,treatment,settled,cup_position,spl,low_freq,mid_freq,high_freq,aci,adi,aei,larvae_cup
37.1,4-Mar,1,3,reef,1,5,109.0365197,72.26364369,66.2108798,68.33548155,4560.105861,1.890149465,0.829882072,
37.2,4-Mar,1,3,reef,1,5,109.0365197,72.26364369,66.2108798,68.33548155,4560.105861,1.890149465,0.829882072,
37.3,4-Mar,1,3,reef,1,5,109.0365197,72.26364369,66.2108798,68.33548155,4560.105861,1.890149465,0.829882072,
37.4,4-Mar,1,3,reef,1,5,109.0365197,72.26364369,66.2108798,68.33548155,4560.105861,1.890149465,0.829882072,
38,4-Mar,1,3,reef,1,2,109.0365197,72.26364369,66.2108798,68.33548155,4560.105861,1.890149465,0.829882072,
38.1,4-Mar,1,3,reef,1,2,109.0365197,72.26364369,66.2108798,68.33548155,4560.105861,1.890149465,0.829882072,
38.2,4-Mar,1,3,reef,1,2,109.0365197,72.26364369,66.2108798,68.33548155,4560.105861,1.890149465,0.829882072,
38.3,4-Mar,1,3,reef,1,2,109.0365197,72.26364369,66.2108798,68.33548155,4560.105861,1.890149465,0.829882072,
38.4,4-Mar,1,3,reef,1,2,109.0365197,72.26364369,66.2108798,68.33548155,4560.105861,1.890149465,0.829882072,
38.5,4-Mar,1,3,reef,1,2,109.0365197,72.26364369,66.2108798,68.33548155,4560.105861,1.890149465,0.829882072,
38.6,4-Mar,1,3,reef,1,2,109.0365197,72.26364369,66.2108798,68.33548155,4560.105861,1.890149465,0.829882072,
38.7,4-Mar,1,3,reef,1,2,109.0365197,72.26364369,66.2108798,68.33548155,4560.105861,1.890149465,0.829882072,
38.8,4-Mar,1,3,reef,1,2,109.0365197,72.26364369,66.2108798,68.33548155,4560.105861,1.890149465,0.829882072,
39,4-Mar,1,3,reef,1,3,109.0365197,72.26364369,66.2108798,68.33548155,4560.105861,1.890149465,0.829882072,
39.1,4-Mar,1,3,reef,1,3,109.0365197,72.26364369,66.2108798,68.33548155,4560.105861,1.890149465,0.829882072,
39.2,4-Mar,1,3,reef,1,3,109.0365197,72.26364369,66.2108798,68.33548155,4560.105861,1.890149465,0.829882072,
39.3,4-Mar,1,3,reef,1,3,109.0365197,72.26364369,66.2108798,68.33548155,4560.105861,1.890149465,0.829882072,
39.4,4-Mar,1,3,reef,1,3,109.0365197,72.26364369,66.2108798,68.33548155,4560.105861,1.890149465,0.829882072,
39.5,4-Mar,1,3,reef,1,3,109.0365197,72.26364369,66.2108798,68.33548155,4560.105861,1.890149465,0.829882072,
39.6,4-Mar,1,3,reef,1,3,109.0365197,72.26364369,66.2108798,68.33548155,4560.105861,1.890149465,0.829882072,
40,4-Mar,1,3,reef,1,1,109.0365197,72.26364369,66.2108798,68.33548155,4560.105861,1.890149465,0.829882072,
40.1,4-Mar,1,3,reef,1,1,109.0365197,72.26364369,66.2108798,68.33548155,4560.105861,1.890149465,0.829882072,
40.2,4-Mar,1,3,reef,1,1,109.0365197,72.26364369,66.2108798,68.33548155,4560.105861,1.890149465,0.829882072,
40.3,4-Mar,1,3,reef,1,1,109.0365197,72.26364369,66.2108798,68.33548155,4560.105861,1.890149465,0.829882072,
40.4,4-Mar,1,3,reef,1,1,109.0365197,72.26364369,66.2108798,68.33548155,4560.105861,1.890149465,0.829882072,
40.5,4-Mar,1,3,reef,1,1,109.0365197,72.26364369,66.2108798,68.33548155,4560.105861,1.890149465,0.829882072,
40.6,4-Mar,1,3,reef,1,1,109.0365197,72.26364369,66.2108798,68.33548155,4560.105861,1.890149465,0.829882072,
41,4-Mar,2,1,no sound,1,2,103.2605878,73.24744395,32.33826853,26.97637084,4113.66092,2.99E-304,0.975,
